id,age,gender,race,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,postal_code,annual_mileage,vehicle_type,speeding_violations,DUIs,past_accidents,outcome
569520,65+,female,majority,0-9y,high school,upper class,0.629027314,TRUE,after 2015,FALSE,TRUE,10238,12000,sedan,0,0,0,FALSE
750365,16-25,male,majority,0-9y,none,poverty,0.357757117,FALSE,before 2015,FALSE,FALSE,10238,16000,sedan,0,0,0,TRUE
199901,16-25,female,majority,0-9y,high school,working class,0.493145785,TRUE,before 2015,FALSE,FALSE,10238,11000,sedan,0,0,0,FALSE
478866,16-25,male,majority,0-9y,university,working class,0.206012851,TRUE,before 2015,FALSE,TRUE,32765,11000,sedan,0,0,0,FALSE
731664,26-39,male,majority,10-19y,none,working class,0.388365888,TRUE,before 2015,FALSE,FALSE,32765,12000,sedan,2,0,1,TRUE
877557,40-64,female,majority,20-29y,high school,upper class,0.619127373,TRUE,after 2015,FALSE,TRUE,10238,13000,sedan,3,0,3,FALSE
930134,65+,male,majority,30y+,high school,upper class,0.49294355,FALSE,after 2015,TRUE,TRUE,10238,13000,sedan,7,0,3,FALSE
461006,26-39,female,majority,0-9y,university,working class,0.468689297,FALSE,after 2015,FALSE,TRUE,10238,14000,sedan,0,0,0,TRUE
68366,40-64,female,majority,20-29y,university,working class,0.521814936,FALSE,before 2015,TRUE,FALSE,10238,13000,sedan,0,0,0,FALSE
445911,40-64,female,majority,0-9y,high school,upper class,0.561531032,TRUE,before 2015,FALSE,TRUE,32765,11000,sedan,0,0,0,TRUE
275820,65+,male,majority,30y+,high school,upper class,0.620361264,TRUE,after 2015,TRUE,TRUE,10238,10000,sedan,6,2,7,FALSE
521399,65+,female,majority,30y+,high school,upper class,0.729830882,TRUE,after 2015,TRUE,FALSE,32765,12000,sedan,4,0,0,FALSE
429728,40-64,male,majority,20-29y,high school,upper class,0.637044744,TRUE,before 2015,TRUE,TRUE,10238,8000,sedan,4,1,2,FALSE
569640,16-25,female,majority,0-9y,university,upper class,0.591259972,TRUE,before 2015,FALSE,TRUE,10238,,sedan,0,0,0,FALSE
980181,26-39,male,majority,10-19y,high school,middle class,0.461567963,TRUE,before 2015,TRUE,TRUE,10238,12000,sedan,0,2,1,FALSE
906223,26-39,female,majority,0-9y,high school,upper class,0.762797941,FALSE,after 2015,TRUE,FALSE,10238,,sedan,0,0,0,FALSE
517747,65+,male,majority,30y+,university,upper class,0.796174846,TRUE,before 2015,TRUE,TRUE,32765,,sedan,10,2,1,FALSE
24851,16-25,male,majority,0-9y,none,poverty,,FALSE,before 2015,TRUE,FALSE,32765,12000,sedan,0,0,0,TRUE
104086,26-39,female,majority,0-9y,university,upper class,0.68059428,TRUE,before 2015,FALSE,TRUE,32765,,sedan,0,0,0,TRUE
240658,16-25,female,majority,0-9y,high school,working class,0.417713982,TRUE,before 2015,FALSE,TRUE,10238,18000,sedan,0,0,0,TRUE
484399,16-25,female,majority,0-9y,high school,working class,0.409513531,FALSE,before 2015,FALSE,FALSE,10238,17000,sedan,0,0,0,TRUE
912828,16-25,male,majority,0-9y,high school,middle class,0.553260053,TRUE,after 2015,TRUE,TRUE,32765,8000,sedan,0,0,0,TRUE
892754,40-64,male,majority,20-29y,none,poverty,0.330950262,TRUE,before 2015,TRUE,TRUE,10238,13000,sedan,3,1,1,FALSE
217,16-25,male,majority,0-9y,none,poverty,,FALSE,before 2015,FALSE,FALSE,10238,17000,sedan,0,0,0,FALSE
633896,65+,male,majority,30y+,high school,upper class,0.50063066,TRUE,before 2015,TRUE,TRUE,32765,7000,sedan,13,2,3,FALSE
193110,26-39,female,majority,10-19y,university,middle class,0.551970181,TRUE,before 2015,TRUE,FALSE,10238,14000,sports car,0,0,0,FALSE
98515,40-64,male,majority,10-19y,high school,middle class,0.62699605,TRUE,before 2015,FALSE,FALSE,10238,13000,sedan,1,1,0,FALSE
165623,26-39,male,majority,10-19y,none,poverty,0.294797481,TRUE,before 2015,TRUE,FALSE,10238,15000,sedan,0,0,1,FALSE
493590,26-39,male,majority,10-19y,university,middle class,0.551950495,FALSE,after 2015,FALSE,FALSE,10238,17000,sedan,0,0,1,FALSE
389792,65+,male,majority,0-9y,university,upper class,0.649820471,TRUE,after 2015,TRUE,TRUE,32765,9000,sedan,0,0,0,TRUE
642614,40-64,male,majority,20-29y,high school,middle class,0.521804435,TRUE,after 2015,TRUE,TRUE,92101,7000,sedan,2,0,1,FALSE
951465,65+,female,majority,30y+,university,upper class,0.701268324,TRUE,before 2015,TRUE,TRUE,10238,10000,sedan,3,1,1,FALSE
496987,16-25,male,majority,0-9y,none,poverty,0.171244029,TRUE,before 2015,TRUE,TRUE,10238,9000,sedan,0,0,0,FALSE
732437,16-25,male,majority,0-9y,none,poverty,0.318441997,TRUE,before 2015,FALSE,TRUE,32765,10000,sedan,0,0,0,TRUE
146897,26-39,female,majority,0-9y,high school,middle class,0.60468427,TRUE,before 2015,TRUE,TRUE,21217,11000,sedan,0,0,0,TRUE
316173,16-25,male,majority,0-9y,university,working class,0.504994853,FALSE,after 2015,FALSE,FALSE,32765,8000,sedan,0,0,0,TRUE
9013,26-39,male,majority,10-19y,high school,working class,0.625146635,TRUE,before 2015,FALSE,TRUE,10238,17000,sedan,3,0,2,FALSE
511757,40-64,female,majority,10-19y,none,middle class,,TRUE,before 2015,TRUE,TRUE,10238,11000,sedan,2,0,1,FALSE
429947,65+,male,majority,30y+,university,upper class,,FALSE,after 2015,FALSE,TRUE,10238,12000,sports car,6,0,5,FALSE
485660,40-64,male,majority,10-19y,university,upper class,0.578130587,TRUE,before 2015,FALSE,TRUE,92101,14000,sedan,1,0,1,FALSE
80496,65+,male,majority,30y+,high school,upper class,0.70545429,TRUE,before 2015,TRUE,TRUE,10238,10000,sedan,5,1,3,FALSE
478336,40-64,male,majority,20-29y,university,upper class,0.659525491,TRUE,after 2015,FALSE,TRUE,10238,16000,sedan,4,0,2,FALSE
10843,40-64,male,majority,20-29y,university,upper class,0.587383612,FALSE,after 2015,TRUE,TRUE,32765,9000,sedan,10,2,0,FALSE
397446,16-25,male,majority,0-9y,none,poverty,0.406482425,FALSE,before 2015,FALSE,FALSE,10238,16000,sedan,0,0,0,TRUE
101678,26-39,female,majority,10-19y,high school,poverty,0.285747132,FALSE,before 2015,FALSE,TRUE,10238,13000,sedan,1,0,0,TRUE
231661,40-64,male,majority,20-29y,high school,middle class,0.502284965,FALSE,before 2015,FALSE,FALSE,10238,14000,sports car,3,0,4,FALSE
173782,65+,male,majority,20-29y,high school,upper class,0.625625721,TRUE,after 2015,TRUE,TRUE,10238,7000,sedan,7,0,5,FALSE
921097,40-64,female,majority,20-29y,university,upper class,,TRUE,after 2015,TRUE,TRUE,92101,11000,sedan,3,0,2,FALSE
98839,26-39,female,minority,10-19y,university,working class,0.39315313,TRUE,before 2015,FALSE,TRUE,32765,12000,sedan,1,0,0,FALSE
105372,26-39,female,minority,10-19y,none,working class,0.50394976,FALSE,before 2015,FALSE,TRUE,10238,14000,sedan,1,0,0,FALSE
888828,40-64,male,majority,20-29y,university,upper class,0.65862743,TRUE,before 2015,TRUE,FALSE,10238,14000,sedan,3,0,2,FALSE
37454,26-39,female,majority,0-9y,high school,working class,0.524146466,FALSE,before 2015,FALSE,FALSE,10238,17000,sedan,0,0,0,TRUE
370044,65+,male,majority,20-29y,university,upper class,0.553100757,FALSE,after 2015,TRUE,TRUE,32765,7000,sedan,9,0,1,FALSE
768282,16-25,female,majority,0-9y,university,working class,0.447550949,FALSE,before 2015,TRUE,TRUE,10238,8000,sedan,0,0,0,TRUE
738729,16-25,female,majority,0-9y,none,working class,0.510733137,TRUE,before 2015,TRUE,TRUE,10238,7000,sedan,0,0,0,TRUE
437535,26-39,female,majority,10-19y,high school,middle class,,TRUE,after 2015,TRUE,FALSE,10238,15000,sedan,0,0,0,FALSE
329536,16-25,female,majority,0-9y,high school,poverty,0.461373592,FALSE,before 2015,FALSE,FALSE,32765,9000,sedan,0,0,0,TRUE
328531,40-64,female,majority,20-29y,university,middle class,0.387556944,FALSE,after 2015,FALSE,TRUE,32765,12000,sedan,2,0,1,FALSE
123941,40-64,female,majority,20-29y,university,middle class,0.570157226,TRUE,after 2015,TRUE,TRUE,10238,,sedan,0,0,0,FALSE
131881,26-39,male,majority,10-19y,university,working class,0.550125088,TRUE,before 2015,FALSE,FALSE,10238,16000,sedan,0,1,0,FALSE
839572,40-64,male,majority,20-29y,high school,working class,0.452944232,FALSE,before 2015,TRUE,TRUE,10238,12000,sedan,3,0,1,FALSE
171578,26-39,male,majority,10-19y,university,upper class,,TRUE,before 2015,TRUE,TRUE,10238,8000,sedan,2,0,1,FALSE
589757,40-64,female,majority,20-29y,high school,upper class,0.53527431,TRUE,before 2015,TRUE,TRUE,92101,7000,sedan,2,0,0,FALSE
336859,16-25,female,majority,0-9y,university,middle class,0.614735949,TRUE,before 2015,FALSE,TRUE,10238,15000,sedan,0,0,0,TRUE
788111,40-64,female,minority,20-29y,high school,poverty,0.454447156,TRUE,before 2015,TRUE,TRUE,10238,,sedan,1,0,1,FALSE
407453,40-64,female,majority,0-9y,university,upper class,0.613740918,TRUE,before 2015,FALSE,FALSE,10238,,sedan,0,0,0,FALSE
367026,40-64,female,minority,10-19y,high school,working class,0.532661328,TRUE,before 2015,TRUE,TRUE,10238,11000,sedan,0,0,0,FALSE
334687,40-64,female,minority,0-9y,university,middle class,0.427728514,TRUE,before 2015,FALSE,FALSE,10238,15000,sedan,0,0,0,TRUE
623367,65+,male,majority,20-29y,university,upper class,0.685945721,TRUE,before 2015,TRUE,TRUE,32765,5000,sedan,4,1,4,FALSE
688440,65+,male,majority,10-19y,university,upper class,0.693612427,TRUE,before 2015,TRUE,TRUE,10238,10000,sedan,2,0,0,FALSE
547974,65+,male,majority,20-29y,high school,upper class,0.597990596,FALSE,before 2015,TRUE,TRUE,10238,12000,sedan,2,1,7,TRUE
989064,26-39,male,majority,0-9y,none,poverty,0.330818666,FALSE,after 2015,TRUE,TRUE,10238,12000,sedan,0,0,0,TRUE
422816,40-64,male,majority,20-29y,high school,working class,,TRUE,before 2015,FALSE,FALSE,10238,12000,sedan,5,0,7,FALSE
307408,26-39,female,minority,10-19y,none,working class,,TRUE,before 2015,FALSE,TRUE,10238,9000,sedan,2,0,0,FALSE
675898,16-25,male,majority,0-9y,high school,middle class,0.508304218,TRUE,before 2015,FALSE,TRUE,10238,16000,sedan,0,0,0,FALSE
480452,26-39,female,majority,0-9y,university,upper class,0.764132917,TRUE,before 2015,TRUE,TRUE,10238,12000,sedan,0,0,0,FALSE
93199,40-64,female,majority,0-9y,university,middle class,0.47751696,TRUE,after 2015,TRUE,TRUE,10238,14000,sedan,0,0,0,FALSE
125802,40-64,female,majority,20-29y,university,upper class,0.681233208,TRUE,before 2015,TRUE,TRUE,10238,10000,sedan,0,0,1,FALSE
616663,40-64,male,majority,0-9y,university,upper class,0.467155546,TRUE,after 2015,FALSE,FALSE,10238,16000,sedan,0,0,0,FALSE
423497,16-25,female,majority,0-9y,high school,working class,0.394163245,TRUE,before 2015,FALSE,FALSE,10238,16000,sedan,0,0,0,TRUE
492837,40-64,female,majority,10-19y,university,upper class,0.661060732,TRUE,after 2015,TRUE,TRUE,10238,14000,sedan,0,0,0,FALSE
422563,40-64,male,majority,20-29y,university,upper class,0.665187975,FALSE,before 2015,FALSE,TRUE,10238,14000,sedan,2,0,1,FALSE
185231,16-25,female,majority,0-9y,high school,middle class,0.560770207,TRUE,before 2015,FALSE,TRUE,10238,11000,sedan,0,0,0,FALSE
949152,26-39,female,majority,10-19y,university,upper class,0.74543271,FALSE,after 2015,FALSE,FALSE,32765,9000,sedan,0,0,0,FALSE
859453,26-39,male,majority,10-19y,university,middle class,0.532574352,TRUE,before 2015,TRUE,TRUE,10238,13000,sedan,1,0,2,FALSE
466578,26-39,female,majority,10-19y,high school,middle class,0.526747339,TRUE,after 2015,FALSE,TRUE,10238,14000,sedan,0,0,0,FALSE
998214,16-25,female,minority,0-9y,none,poverty,0.412451746,FALSE,before 2015,FALSE,FALSE,10238,14000,sedan,0,0,0,TRUE
828462,40-64,male,majority,20-29y,high school,working class,0.387107145,FALSE,before 2015,FALSE,TRUE,10238,16000,sedan,0,0,6,FALSE
511837,65+,male,majority,10-19y,high school,middle class,0.549993868,TRUE,before 2015,TRUE,TRUE,32765,9000,sedan,3,1,1,FALSE
554995,16-25,male,majority,0-9y,university,upper class,0.585342095,TRUE,before 2015,TRUE,TRUE,10238,12000,sports car,0,0,0,TRUE
680717,65+,male,majority,30y+,none,middle class,0.598739605,TRUE,before 2015,TRUE,TRUE,10238,14000,sedan,6,1,3,FALSE
978021,40-64,male,majority,20-29y,university,upper class,0.6026557,TRUE,after 2015,TRUE,TRUE,10238,7000,sedan,4,0,6,FALSE
509815,26-39,female,majority,0-9y,high school,working class,0.511457058,TRUE,after 2015,TRUE,TRUE,32765,,sedan,0,0,0,FALSE
6676,40-64,female,majority,20-29y,high school,upper class,0.558659174,FALSE,before 2015,FALSE,TRUE,10238,15000,sedan,3,0,2,FALSE
362280,40-64,male,majority,10-19y,high school,working class,0.628407014,FALSE,before 2015,FALSE,FALSE,10238,13000,sedan,0,0,0,TRUE
883018,40-64,male,majority,0-9y,high school,working class,0.505790373,TRUE,before 2015,FALSE,TRUE,10238,13000,sedan,0,0,0,FALSE
889355,26-39,female,majority,10-19y,university,upper class,0.726818418,TRUE,before 2015,TRUE,TRUE,10238,15000,sedan,2,0,0,FALSE
198273,65+,male,majority,20-29y,university,upper class,0.690442334,TRUE,after 2015,TRUE,TRUE,32765,9000,sedan,8,0,2,FALSE
197763,40-64,male,majority,20-29y,university,upper class,0.479677165,FALSE,after 2015,TRUE,FALSE,10238,14000,sedan,1,0,2,FALSE
55670,26-39,male,majority,10-19y,university,upper class,,TRUE,after 2015,TRUE,TRUE,10238,11000,sedan,3,1,0,FALSE
545941,40-64,female,majority,20-29y,none,working class,0.440559204,TRUE,after 2015,TRUE,TRUE,10238,11000,sedan,1,0,2,FALSE
814196,16-25,female,majority,0-9y,none,middle class,0.634052597,TRUE,before 2015,FALSE,TRUE,32765,,sedan,0,0,0,TRUE
560160,16-25,female,majority,0-9y,high school,poverty,0.457469588,FALSE,before 2015,FALSE,FALSE,10238,,sedan,0,0,0,FALSE
